No OMP
Network, states, time (ns), G states/s
passo_bool_7, 1000, 11372497.33333333395421504974, 0.00008793143411596608
passo_bool_7, 10000, 8369829.33333333302289247513, 0.00119476749187398816
passo_bool_7, 100000, 30588739.33333333209156990051, 0.00326917689906322615
passo_bool_7, 1000000, 193254629.66666665673255920410, 0.00517452027785745769
passo_bool_7, 10000000, 7204542372.00000000000000000000, 0.00138801321217352680
passo_tlf_7passo_bool_8, 1000, 9485442.00000000000000000000, 0.00010542471294432036
passo_tlf_7passo_bool_8, 10000, 8206970.33333333302289247513, 0.00121847644061586521
passo_tlf_7passo_bool_8, 100000, 59715677.66666666418313980103, 0.00167460211300289857
passo_tlf_7passo_bool_8, 1000000, 177290221.66666665673255920410, 0.00564046900386957865
passo_tlf_7passo_bool_8, 10000000, 6240933068.33333301544189453125, 0.00160232450668959677
passo_tlf_8, 1000, 10454808.66666666604578495026, 0.00009564976575691199
passo_tlf_8, 10000, 12250768.33333333395421504974, 0.00081627533293490023
passo_tlf_8, 100000, 68312087.33333332836627960205, 0.00146386977625267718
passo_tlf_8, 1000000, 563126708.66666662693023681641, 0.00177579927325367403
passo_tlf_8, 10000000, 6637444299.00000000000000000000, 0.00150660398031612929
passo_bool_9, 1000, 9849040.66666666604578495026, 0.00010153273134351292
passo_bool_9, 10000, 15603925.33333333395421504974, 0.00064086438420964847
passo_bool_9, 100000, 26492306.00000000000000000000, 0.00377468084507252789
passo_bool_9, 1000000, 979302309.00000000000000000000, 0.00102113513958844351
passo_bool_9, 10000000, 9786443229.00000000000000000000, 0.00102182169415413067
passo_tlf_9, 1000, 11788661.00000000000000000000, 0.00008482727597307277
passo_tlf_9, 10000, 9273415.66666666604578495026, 0.00107835131729779412
passo_tlf_9, 100000, 88685306.00000000000000000000, 0.00112758251068108164
passo_tlf_9, 1000000, 968484217.66666662693023681641, 0.00103254134838589640
passo_tlf_9, 10000000, 9714880916.00000000000000000000, 0.00102934869572414629
(null), 1000, 7242655.33333333302289247513, 0.00013807090824792344
(null), 10000, 10708756.33333333395421504974, 0.00093381525255858370
(null), 100000, 67802638.66666667163372039795, 0.00147486885416986424
(null), 1000000, 669806647.00000000000000000000, 0.00149296816399016705
(null), 10000000, 5977786094.66666698455810546875, 0.00167286012607943940
(null), 1000, 5031161.00000000000000000000, 0.00019876127995108883
(null), 10000, 11530589.00000000000000000000, 0.00086725838549964792
(null), 100000, 21541750.33333333209156990051, 0.00464214831444136316
(null), 1000000, 732683259.66666662693023681641, 0.00136484625082733402
(null), 10000000, 6524028750.33333301544189453125, 0.00153279520717763073
With O3
Network, states, time (ns), G states/s
passo_bool_1, 1000, 9811845.33333333395421504974, 0.00010191762772724777
passo_bool_1, 10000, 6861122.33333333302289247513, 0.00145748749463583873
passo_bool_1, 100000, 8834601.66666666604578495026, 0.01131912946084534001
passo_bool_1, 1000000, 12433880.66666666604578495026, 0.08042541398043549783
passo_bool_1, 10000000, 335617031.33333331346511840820, 0.02979586572311953077
passo_tlf_1, 1000, 85771.00000000000000000000, 0.01165895232654393619
passo_tlf_1, 10000, 425433.33333333331393077970, 0.02350544542819086452
passo_tlf_1, 100000, 820620.00000000000000000000, 0.12185908215739318927
passo_tlf_1, 1000000, 7271323.33333333302289247513, 0.13752654835410518808
passo_tlf_1, 10000000, 70702182.00000000000000000000, 0.14143835051653710910
passo_bool_2, 1000, 98706.00000000000000000000, 0.01013109638725102901
passo_bool_2, 10000, 258976.00000000000000000000, 0.03861361670579513405
passo_bool_2, 100000, 1844643.00000000000000000000, 0.05421103161966841361
passo_bool_2, 1000000, 40896764.33333333581686019897, 0.02445181217392642173
passo_bool_2, 10000000, 176687008.33333334326744079590, 0.05659725689131737264
passo_tlf_2, 1000, 96529.66666666667151730508, 0.01035950951175631553
passo_tlf_2, 10000, 489400.00000000000000000000, 0.02043318348998773848
passo_tlf_2, 100000, 1880847.33333333325572311878, 0.05316752626741635263
passo_tlf_2, 1000000, 18221165.00000000000000000000, 0.05488123289592076320
passo_tlf_2, 10000000, 179041116.00000000000000000000, 0.05585309242598777979
